source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2006-01-01 23:00:00	0	1.49	1.49	3.6626	0	0	0	0.27006	0.152609	0	0	1.33739	0	0	0	0	0	0	608.956	0	0	47.8605	43.2361	43.2033	43.1736	43.1642	44.2896	44.3039	44.3039	41.9358	41.9358	41.9358	41.9358	2.77408	2.8085	2.84015	2.8502	4.22504	4.2038	562.619	99	0	0
setup	0	2006-01-02 23:00:00	0	0.88	0.88	3.65194	0	0	0	0.259155	0.152164	0	0.000112089	0.727836	0	0	0	0	0	0	609.425	0	0	43.4967	43.4358	43.3799	43.3003	43.2622	44.4234	44.3968	44.3487	42.207	42.0735	41.9714	41.9418	2.57426	2.62857	2.70801	2.747	4.03024	4.1377	546.031	99	0	0
setup	0	2006-01-03 23:00:00	0	0.26	0.26	3.61486	0	0	0	0.253396	0.150619	0	0.00111176	0.109381	0	0	0	0	0	0	609.279	0	0	43.3405	43.3228	43.3065	43.2833	43.2728	44.3858	44.3821	44.3704	42.1309	42.0742	42.0021	41.9587	2.68528	2.70177	2.72537	2.73608	4.08394	4.10607	532.203	99	0	0
setup	0	2006-01-04 23:00:00	0	0.04	0.04	3.66756	0	0	0	0.261588	0.04	0	0.00201724	0	0	0	0	0	0	0	609.016	0	0	43.1916	43.1956	43.2014	43.2104	43.2171	44.3699	44.3762	44.3749	42.0961	42.0633	42.0132	41.9736	2.81672	2.8106	2.80105	2.79394	4.10688	4.09967	527.259	99	0	0
setup	0	2006-01-05 23:00:00	0	0.05	0.05	3.81722	0	0	0	0.268091	0.05	0	0.0021223	0	0	0	0	0	0	0	608.746	0	0	43.0584	43.0748	43.0963	43.1281	43.1496	44.3543	44.3755	44.3753	42.0751	42.0533	42.017	41.9847	2.94821	2.9243	2.88931	2.86594	4.12957	4.09899	525.588	99	0	0
setup	0	2006-01-06 23:00:00	0	0.04	0.04	3.84883	0	0	0	0.267426	0.04	0	0.00184748	0	0	0	0	0	0	0	608.476	0	0	42.9265	42.9547	42.9916	43.0458	43.082	44.3385	44.3754	44.3754	42.0609	42.0453	42.0183	41.9928	3.08581	3.04278	2.98071	2.94019	4.15261	4.09893	525.046	99	0	0
setup	0	2006-01-07 23:00:00	0	0.12	0.12	3.89455	0	0	0	0.261477	0.12	0	0.00149382	0	0	0	0	0	0	0	608.213	0	0	42.7987	42.8377	42.8893	42.9652	43.0155	44.3229	44.3754	44.3754	42.0506	42.039	42.0186	41.9989	3.2269	3.16376	3.07347	3.01525	4.17552	4.09892	524.887	99	0	0
setup	0	2006-01-08 23:00:00	0	0.22	0.22	4.03388	0	0	0	0.265151	0.168078	0	0.00117091	0.0519218	0	0	0	0	0	0	607.999	0	0	42.7482	42.7558	42.7862	42.8836	42.9481	44.3071	44.3754	44.3754	42.043	42.0343	42.0187	42.0036	3.32995	3.29128	3.17064	3.09353	4.19898	4.09885	524.84	99	0	0
setup	0	2006-01-09 23:00:00	0	3.48	3.48	3.96482	0	0	0	0.27935	0.165201	0	0.00125672	3.3148	0	0	0	0	0	0	611.033	0	0	43.1399	43.4071	43.3497	43.2496	43.1964	44.6047	44.5503	44.4572	42.5356	42.3194	42.1076	42.0248	2.60198	2.65842	2.76006	2.81588	3.78255	3.98264	487.424	99	0	0
setup	0	2006-01-10 23:00:00	0	3.38	3.38	3.68427	0	0	0	0.271997	0.153511	0	0.0108638	3.22649	0	0	0	0	0	0	613.977	0	0	43.1472	43.8947	43.8117	43.6633	43.5822	44.7974	44.7226	44.5927	42.4962	42.4602	42.4778	42.2124	2.17256	2.23979	2.36577	2.43786	3.5383	3.79833	359.939	99	0	0
