source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
<<<<<<< HEAD
setup	0	2023-04-20 23:00:00	ANGA	19	2140.24	1	0.00709912	0	0.000172688	6.62949e-05	0	0	0	0	0	0	0	0	0	0.000179912	0	0.000327839	0	0.000507751	0	0	0	0.5	0.249741	0	0	0	0.235943	0	0	0.235943	0.249741	2.64726	10.6	2.82615e-06	0.0128	0	0.00881198	0	0	0.00527581	0.000258623	0	0.000307125	0	0	0	1.7545e-06	0	1.43243e-06	0	0	0.746327	0	23.8988	0	0	0	0	0	0	0	0
setup	0	2023-04-21 23:00:00	ANGA	19	2144.69	1	0.00690282	0	6.80446e-05	2.23167e-05	0	0	0	0	0	0.00187144	0	0	-0.000500713	0.00017486	0	0.000334818	0	0.000509678	0.000149728	0.000623812	0.00248116	0.497669	0.249493	0	0.00415875	0.00415875	0.234523	0	0	0.234523	0.253652	2.64463	10.6	2.7619e-06	0.0128	0	0.00988458	0	0	0.00551168	0.000247932	0	0.000306726	0	0	0	1.68197e-06	0	1.43252e-06	0	0	0.743687	0.0863481	23.8989	0	0	0	0	0	0	0	0
setup	0	2023-04-22 23:00:00	ANGA	19	2148.98	1	0.00803538	0	4.50252e-05	1.5001e-05	0	0	0	0	0	0.00171919	0	0	-0.000509541	0.000170633	9.60819e-07	0.000330294	0	0.000501888	5.93493e-05	0.000573065	0.00242123	0.495344	0.249209	0	0.00795945	0.00795945	0.233106	0	0	0.233106	0.257168	2.64161	10.6	3.12814e-06	0.0128	0.00198602	0.010265	0	0	0.00559852	0.000284531	0	0.00030488	0	0	0	1.93026e-06	0	1.59722e-06	0	0	0.812748	0.0850108	23.8985	0	0	0	0	0	0	0	0
setup	0	2023-04-23 23:00:00	ANGA	19	2153.11	1	0.00933176	0	3.47395e-05	1.27256e-05	0	0	0	0	0	0.00174262	0	0	-0.000500573	0.000166555	2.83302e-06	0.00032478	0	0.000494168	4.36858e-05	0.000580875	0.0023635	0.493107	0.248883	0	0.0117952	0.0117952	0.231727	0	0	0.231727	0.260678	2.63816	10.6	3.42135e-06	0.0128	0.00313887	0.0104949	0	0	0.00565468	0.000325686	0	0.000303038	0	0	0	2.20945e-06	0	1.64866e-06	0	0	0.812	0.0837291	23.8979	0	0	0	0	0	0	0	0
setup	0	2023-04-24 23:00:00	ANGA	19	2157.08	1	0.0108118	0	3.01473e-05	1.33972e-05	0	0	0	0	0	0.00171016	0	0	-0.000490688	0.00016256	5.22504e-06	0.000318511	0	0.000486296	3.80177e-05	0.000570052	0.00230695	0.490957	0.248511	0	0.0155428	0.0155428	0.230388	0	0	0.230388	0.264054	2.63422	10.6	3.72282e-06	0.0128	0.00400671	0.0106547	0	0	0.00569795	0.000371825	0	0.000301245	0	0	0	2.52246e-06	0	1.67562e-06	0	0	0.806518	0.0824716	23.8972	0	0	0	0	0	0	0	0
setup	0	2023-04-25 23:00:00	ANGA	19	2160.91	1	0.0124971	0	2.7904e-05	1.52151e-05	0	0	0	0	0	0.00167055	0	0	-0.000480067	0.000158615	8.06469e-06	0.000312004	0	0.000478684	3.80661e-05	0.000556851	0.00225146	0.488894	0.248088	0	0.0191877	0.0191877	0.22909	0	0	0.22909	0.267276	2.62973	10.6	4.04697e-06	0.0128	0.00481342	0.0107776	0	0	0.00573693	0.000423393	0	0.000299505	0	0	0	2.8723e-06	0	1.69131e-06	0	0	0.800476	0.0812359	23.8963	0	0	0	0	0	0	0	0
setup	0	2023-04-26 23:00:00	ANGA	19	2164.58	1	0.0144111	0	2.64026e-05	1.6791e-05	0	0	0	0	0	0.00162715	0	0	-0.000469204	0.000154719	1.13614e-05	0.000305352	0	0.000471432	4.03539e-05	0.000542384	0.00219712	0.486914	0.247607	0	0.022723	0.022723	0.22783	0	0	0.22783	0.27033	2.62464	10.6	4.40139e-06	0.0128	0.0056341	0.0108752	0	0	0.00577509	0.000480852	0	0.000297816	0	0	0	3.2621e-06	0	1.70117e-06	0	0	0.794513	0.0800263	23.895	0	0	0	0	0	0	0	0
setup	0	2023-04-27 23:00:00	ANGA	19	2168.1	1	0.0165792	0	2.52784e-05	1.79529e-05	0	0	0	0	0	0.00158231	0	0	-0.000458202	0.000150869	1.50357e-05	0.000298529	0	0.000464433	4.23645e-05	0.000527435	0.0021436	0.485014	0.247062	0	0.0261469	0.0261469	0.226608	0	0	0.226608	0.273209	2.61886	10.6	4.79064e-06	0.0128	0.00645868	0.0109511	0	0	0.00581288	0.000544675	0	0.000296179	0	0	0	3.69508e-06	0	1.70713e-06	0	0	0.788818	0.0788332	23.8934	0	0	0	0	0	0	0	0
setup	0	2023-04-28 23:00:00	ANGA	19	2171.47	1	0.0190285	0	2.43346e-05	1.86862e-05	0	0	0	0	0	0.00153811	0	0	-0.000447037	0.00014706	1.89906e-05	0.000291538	0	0.000457588	4.37697e-05	0.000512703	0.00209109	0.483191	0.246447	0	0.0294621	0.0294621	0.225422	0	0	0.225422	0.275909	2.61234	10.6	5.21818e-06	0.0128	0.00727338	0.0110078	0	0	0.00585023	0.000615345	0	0.00029459	0	0	0	4.1745e-06	0	1.70983e-06	0	0	0.783461	0.0776641	23.8913	0	0	0	0	0	0	0	0
