source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	2019-01-01 23:00:00	ANGA	19	1738.04	1	0	0	7.87612e-05	9.10017e-05	0	0	3.7629e-05	0	0	0	0	0	0	0.000248348	0	0.000248833	0	0.000497181	0.000188145	0	0	0.5	0.1	0	0	0	0.0943772	0	0	0.0943772	0.1	1.06	10.6	5.08108e-07	0.0128	0	0.00880538	0	0	0.00211103	0	0	0.00012285	0	0	0	0	0	5.72972e-07	0	0	0.740912	0	23.9	0	0	0	0	0	0	6.8149e-07	6.81376e-07
setup	0	2019-01-02 23:00:00	ANGA	19	1759.34	1	0	0	5.80362e-06	8.6566e-06	0	0	3.27366e-06	0	0	0.00206873	0.000770467	0	-0.000244542	0.000248057	0	0.000357018	0	0.000605075	0.000243019	0.000946399	0.00454359	0.497283	0.1	0	0.00459718	0.00459718	0.0954232	0	0	0.0954232	0.104597	1.06	10.6	5.07758e-07	0.0128	0	0.0108762	0	0	0.00231785	0	0	0.00012269	0	0	0.000256822	0	0	5.72578e-07	0	0	0.726392	0.235016	23.9	0	0	0	0	0	0	6.81304e-07	6.81291e-07
setup	0	2019-01-03 23:00:00	ANGA	19	1780.68	1	0	0	1.93525e-05	3.11538e-05	0	0	1.14053e-05	0	0	0.00351183	0	0	-0.000562376	0.000248874	2.4054e-06	0.000381453	0	0.000632733	0.000112635	0.00125622	0.00494274	0.491578	0.1	0	0.0123438	0.0123438	0.0941068	0	0	0.0941068	0.112344	1.06	10.6	6.34124e-07	0.0128	0.00123933	0.0110467	0	0	0.00233487	0	0	0.00012405	0	0	0	0	0	7.15076e-07	0	0	0.701241	0.27371	23.9	0	0	0	0	0	0	6.82538e-07	6.81856e-07
setup	0	2019-01-04 23:00:00	ANGA	19	1801.1	1	0	0	3.65457e-05	5.48536e-05	0	0	1.93353e-05	0	0	0.0035936	0	0	-0.000524879	0.000252267	1.94439e-05	0.000383588	0	0.000655298	0.000174626	0.00119787	0.00498511	0.486922	0.1	0	0.0201943	0.0201943	0.0929534	0	0	0.0929534	0.120194	1.06	10.6	6.35176e-07	0.0128	0.00385478	0.0111692	0	0	0.00239606	0	0	0.000122339	0	0	0	0	0	7.16262e-07	0	0	0.736683	0.364173	23.9	0	0	0	0	0	0	7.001e-07	6.89908e-07
setup	0	2019-01-05 23:00:00	ANGA	19	1821.59	1	0	0	4.275e-05	5.86722e-05	0	0	2.1691e-05	0	0	0.00361415	0	0	-0.000500005	0.000247906	5.57432e-05	0.000385014	0	0.000688663	0.000228036	0.00120472	0.00512296	0.483031	0.1	0	0.0280275	0.0280275	0.0919197	0	0	0.0919197	0.128027	1.06	10.6	6.3435e-07	0.0128	0.00675101	0.0112801	0	0	0.00250608	0	0	0.000120839	0	0	0	0	0	7.15331e-07	0	0	0.810374	0.341707	23.9	0	0	0	0	0	0	7.3532e-07	7.06057e-07
setup	0	2019-01-06 23:00:00	ANGA	19	1841.79	1	0	0	4.08298e-05	5.58865e-05	0	0	2.01453e-05	0	0	0.00370567	0	0	-0.000482907	0.00024863	9.84748e-05	0.000385954	0	0.000733059	0.000228188	0.00123522	0.00534845	0.479747	0.1	0	0.0360115	0.0360115	0.0909778	0	0	0.0909778	0.136012	1.06	10.6	6.33525e-07	0.0128	0.00869056	0.0113821	0	0	0.00262848	0	0	0.000119496	0	0	0	0	0	7.14401e-07	0	0	0.764977	0.348255	23.9	0	0	0	0	0	0	6.81417e-07	6.81342e-07
setup	0	2019-01-07 23:00:00	ANGA	19	1863.15	1	0	0	3.1516e-05	4.45374e-05	0	0	1.71714e-05	0	0	0.00276452	0	0	-0.000509343	0.000247825	0.000155032	0.000394087	0	0.000796944	0.000202184	0.000921508	0.00411238	0.476207	0.1	0	0.041834	0.041834	0.0900487	0	0	0.0900487	0.141834	1.06	10.6	6.32702e-07	0.0128	0.0102896	0.0114846	0	0	0.00274463	0	0	0.000118271	0	0	0	0	0	7.13472e-07	0	0	0.714902	0.200877	23.9	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2019-01-08 23:00:00	ANGA	19	1883.39	1	0	0	2.74032e-05	4.05929e-05	0	0	1.40305e-05	0	0	0.00294195	0	0	-0.000503177	0.000242192	0.000184409	0.000391509	0	0.000818111	0.000167608	0.000980651	0.00439374	0.473052	0.1	0	0.0480169	0.0480169	0.0891681	0	0	0.0891681	0.148017	1.06	10.6	6.31879e-07	0.0128	0.0109193	0.0115829	0	0	0.00283714	0	0	0.000117063	0	0	0	0	0	7.12544e-07	0	0	0.681982	0.253646	23.9	0	0	0	0	0	0	6.81609e-07	6.8143e-07
setup	0	2019-01-09 23:00:00	ANGA	19	1904.19	1	0	0	2.73633e-05	4.33206e-05	0	0	1.5153e-05	0	0	0.00319505	0	0	-0.000463494	0.000246772	0.000218657	0.000393983	0	0.000859412	0.000167789	0.00106502	0.00475658	0.470575	0.1	0	0.0547565	0.0547565	0.0883827	0	0	0.0883827	0.154757	1.06	10.6	6.31058e-07	0.0128	0.0110849	0.0116707	0	0	0.00291845	0	0	0.000115919	0	0	0	0	0	7.11618e-07	0	0	0.639885	0.259422	23.9	0	0	0	0	0	0	6.81304e-07	6.81291e-07
setup	0	2019-01-10 23:00:00	ANGA	19	1924.29	1	0	0	2.78221e-05	4.65013e-05	0	0	1.49909e-05	0	0	0.00329845	0	0	-0.000433061	0.000241034	0.000247025	0.000391017	0	0.000879075	0.0001721	0.00109948	0.00496734	0.468585	0.1	0	0.0617183	0.0617183	0.0876736	0	0	0.0876736	0.161718	1.06	10.6	6.30237e-07	0.0128	0.0112355	0.0117498	0	0	0.00300358	0	0	0.000114898	0	0	0	0	0	7.10693e-07	0	0	0.603752	0.28884	23.9	0	0	0	0	0	0	6.81515e-07	6.81387e-07
