source	id	datetime	species	area_cover[-]	area_fraction[-]	n_tree[ha-1]	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	sla[m2kg-1]	lai[-]	crown_diam_ratio[-]	sap_fol_ratio[-]	branch_fraction[-]	DW_stem_wood[kgm-2]	DW_branch_wood[kgm-2]	DW_root_wood[kgm-2]
setup	0	2006-01-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.06	1	0	0	0	0	0
setup	0	2006-01-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.06	1	0	0	0	0	0
setup	0	2006-01-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.06	1	0	0	0	0	0
setup	0	2006-01-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.06	1	0	0	0	0	0
setup	0	2006-01-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05941	1	0	0	0	0	0
setup	0	2006-01-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05873	1	0	0	0	0	0
setup	0	2006-01-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05794	1	0	0	0	0	0
setup	0	2006-01-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05702	1	0	0	0	0	0
setup	0	2006-01-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05597	1	0	0	0	0	0
setup	0	2006-01-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05477	1	0	0	0	0	0
setup	0	2006-01-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05339	1	0	0	0	0	0
setup	0	2006-01-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05182	1	0	0	0	0	0
setup	0	2006-01-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.05003	1	0	0	0	0	0
setup	0	2006-01-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.04799	1	0	0	0	0	0
setup	0	2006-01-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.04569	1	0	0	0	0	0
setup	0	2006-01-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.04308	1	0	0	0	0	0
setup	0	2006-01-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.04015	1	0	0	0	0	0
setup	0	2006-01-18 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.03685	1	0	0	0	0	0
setup	0	2006-01-19 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.03315	1	0	0	0	0	0
setup	0	2006-01-20 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.02902	1	0	0	0	0	0
setup	0	2006-01-21 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.02442	1	0	0	0	0	0
setup	0	2006-01-22 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.0193	1	0	0	0	0	0
setup	0	2006-01-23 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.01362	1	0	0	0	0	0
setup	0	2006-01-24 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.00734	1	0	0	0	0	0
setup	0	2006-01-25 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	1.00042	1	0	0	0	0	0
setup	0	2006-01-26 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.992808	1	0	0	0	0	0
setup	0	2006-01-27 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.984462	1	0	0	0	0	0
setup	0	2006-01-28 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.975335	1	0	0	0	0	0
setup	0	2006-01-29 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.965382	1	0	0	0	0	0
setup	0	2006-01-30 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.95456	1	0	0	0	0	0
setup	0	2006-01-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.942825	1	0	0	0	0	0
setup	0	2006-02-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.93014	1	0	0	0	0	0
setup	0	2006-02-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.916464	1	0	0	0	0	0
setup	0	2006-02-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.901765	1	0	0	0	0	0
setup	0	2006-02-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.886014	1	0	0	0	0	0
setup	0	2006-02-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.869184	1	0	0	0	0	0
setup	0	2006-02-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.851256	1	0	0	0	0	0
setup	0	2006-02-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.832219	1	0	0	0	0	0
setup	0	2006-02-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.812064	1	0	0	0	0	0
setup	0	2006-02-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.790794	1	0	0	0	0	0
setup	0	2006-02-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.76842	1	0	0	0	0	0
setup	0	2006-02-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.744958	1	0	0	0	0	0
setup	0	2006-02-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.720439	1	0	0	0	0	0
setup	0	2006-02-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.694901	1	0	0	0	0	0
setup	0	2006-02-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.668391	1	0	0	0	0	0
setup	0	2006-02-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.64097	1	0	0	0	0	0
setup	0	2006-02-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.612708	1	0	0	0	0	0
setup	0	2006-02-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.583685	1	0	0	0	0	0
setup	0	2006-02-18 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.553994	1	0	0	0	0	0
setup	0	2006-02-19 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.523738	1	0	0	0	0	0
setup	0	2006-02-20 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.493029	1	0	0	0	0	0
setup	0	2006-02-21 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.46199	1	0	0	0	0	0
setup	0	2006-02-22 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.430754	1	0	0	0	0	0
setup	0	2006-02-23 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.399461	1	0	0	0	0	0
setup	0	2006-02-24 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.368258	1	0	0	0	0	0
setup	0	2006-02-25 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.337301	1	0	0	0	0	0
setup	0	2006-02-26 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.30675	1	0	0	0	0	0
setup	0	2006-02-27 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.276768	1	0	0	0	0	0
setup	0	2006-02-28 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.247521	1	0	0	0	0	0
setup	0	2006-03-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.219177	1	0	0	0	0	0
setup	0	2006-03-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.191904	1	0	0	0	0	0
setup	0	2006-03-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.165866	1	0	0	0	0	0
setup	0	2006-03-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.141224	1	0	0	0	0	0
setup	0	2006-03-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.118135	1	0	0	0	0	0
setup	0	2006-03-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0967465	1	0	0	0	0	0
setup	0	2006-03-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0771998	1	0	0	0	0	0
setup	0	2006-03-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0596246	1	0	0	0	0	0
setup	0	2006-03-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0441396	1	0	0	0	0	0
setup	0	2006-03-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0308505	1	0	0	0	0	0
setup	0	2006-03-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0198488	1	0	0	0	0	0
setup	0	2006-03-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.011211	1	0	0	0	0	0
setup	0	2006-03-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00499733	1	0	0	0	0	0
setup	0	2006-03-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00125154	1	0	0	0	0	0
setup	0	2006-03-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-18 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-19 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-20 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-21 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-22 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-23 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-24 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-25 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-26 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-27 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-28 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-29 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-30 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-03-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-04-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-04-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0	1	0	0	0	0	0
setup	0	2006-04-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00109503	1	0	0	0	0	0
setup	0	2006-04-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00138253	1	0	0	0	0	0
setup	0	2006-04-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00173749	1	0	0	0	0	0
setup	0	2006-04-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00217352	1	0	0	0	0	0
setup	0	2006-04-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00270645	1	0	0	0	0	0
setup	0	2006-04-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00335452	1	0	0	0	0	0
setup	0	2006-04-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00413863	1	0	0	0	0	0
setup	0	2006-04-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00508251	1	0	0	0	0	0
setup	0	2006-04-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0062129	1	0	0	0	0	0
setup	0	2006-04-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00755973	1	0	0	0	0	0
setup	0	2006-04-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.00915614	1	0	0	0	0	0
setup	0	2006-04-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0110386	1	0	0	0	0	0
setup	0	2006-04-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0132468	1	0	0	0	0	0
setup	0	2006-04-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0158235	1	0	0	0	0	0
setup	0	2006-04-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0188143	1	0	0	0	0	0
setup	0	2006-04-18 23:00:00	ANGA	1	1	0	0	1	0	0	0	1	424	0.0222674	1	0	0	0	0	0
