source	id	datetime	layer	level[m]	extension[m]	water[l/m-2]	wfps[%]	ice	flux	droughtstress[-]	transpiration[mm]
setup	0	2018-07-27 23:00:00	40	1.2	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	39	1.17	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	38	1.14	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	37	1.11	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	36	1.08	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	35	1.05	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	34	1.02	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	33	0.99	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	32	0.96	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	31	0.93	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	30	0.9	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	29	0.87	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	28	0.84	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	27	0.81	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	26	0.78	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	25	0.75	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	24	0.72	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	23	0.69	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	22	0.66	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	21	0.63	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	20	0.6	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	19	0.57	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	18	0.54	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	17	0.51	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	16	0.48	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	15	0.45	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	14	0.42	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	13	0.39	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	12	0.36	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	11	0.33	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	10	0.3	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	9	0.27	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	8	0.24	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	7	0.21	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	6	0.18	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	5	0.15	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	4	0.12	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	3	0.09	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	2	0.06	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	1	0.03	0.03	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-07-27 23:00:00	0	0	0	0	-99.99	0	0	-99.99	-99.99
setup	0	2018-07-27 23:00:00	-1	-0.0201654	0.0201654	4.19706	0.413358	25.4412	0	0.650565	0
setup	0	2018-07-27 23:00:00	-2	-0.04016	0.0199947	4.61868	0.458767	3.41114	0.000972915	0.737703	0
setup	0	2018-07-27 23:00:00	-3	-0.06016	0.02	4.68463	0.465193	0	0.000792075	0.750034	0
setup	0	2018-07-27 23:00:00	-4	-0.08016	0.02	4.68462	0.465191	0	0.000624373	0.750032	0
setup	0	2018-07-27 23:00:00	-5	-0.10016	0.02	4.6846	0.46519	0	0.000473584	0.750029	0
setup	0	2018-07-27 23:00:00	-6	-0.12016	0.02	4.68458	0.465188	0	0.000339675	0.750026	0
setup	0	2018-07-27 23:00:00	-7	-0.14016	0.02	4.68457	0.465187	0	0.000219616	0.750023	0
setup	0	2018-07-27 23:00:00	-8	-0.16016	0.02	4.68456	0.465186	0	0.000108383	0.750021	0
setup	0	2018-07-27 23:00:00	-9	-0.18016	0.02	4.68456	0.465186	0	0	0.750021	0
setup	0	2018-07-27 23:00:00	-10	-0.201069	0.0209091	4.99394	0.499489	0	0.000769724	0.7498	0
setup	0	2018-07-27 23:00:00	-11	-0.221978	0.0209091	4.99332	0.499427	0	0.00215911	0.74964	0
setup	0	2018-07-27 23:00:00	-12	-0.242887	0.0209091	4.99202	0.499297	0	0.00485247	0.749302	0
setup	0	2018-07-27 23:00:00	-13	-0.263796	0.0209091	4.9897	0.499065	0	0.00986148	0.748701	0
setup	0	2018-07-27 23:00:00	-14	-0.284706	0.0209091	4.98599	0.498694	0	0.0185823	0.747739	0
setup	0	2018-07-27 23:00:00	-15	-0.305615	0.0209091	4.98052	0.498146	0	0.0327756	0.746321	0
setup	0	2018-07-27 23:00:00	-16	-0.326524	0.0209091	4.97304	0.497398	0	0.0544513	0.744381	0
setup	0	2018-07-27 23:00:00	-17	-0.347433	0.0209091	4.9635	0.496444	0	0.0856656	0.741908	0
setup	0	2018-07-27 23:00:00	-18	-0.368342	0.0209091	4.95211	0.495305	0	0.128267	0.738956	0
setup	0	2018-07-27 23:00:00	-19	-0.389251	0.0209091	4.93933	0.494027	0	0.183648	0.735643	0
setup	0	2018-07-27 23:00:00	-20	-0.41016	0.0209091	4.9258	0.492674	0	0.252556	0.732137	0
setup	0	2018-07-27 23:00:00	-21	-0.47016	0.06	16.9152	0.557652	0	0.136643	0.757788	0
setup	0	2018-07-27 23:00:00	-22	-0.53016	0.06	16.8693	0.556138	0	0.0666534	0.754703	0
setup	0	2018-07-27 23:00:00	-23	-0.59016	0.06	16.8365	0.555057	0	0.0294325	0.752501	0
setup	0	2018-07-27 23:00:00	-24	-0.65016	0.06	16.8169	0.55441	0	0.0118459	0.751182	0
setup	0	2018-07-27 23:00:00	-25	-0.71016	0.06	16.8068	0.554076	0	0.00437965	0.750502	0
setup	0	2018-07-27 23:00:00	-26	-0.77016	0.06	16.8022	0.553925	0	0.00149909	0.750194	0
