source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2015-01-01 23:00:00	1.66933e-10	10.3323	2.26447	0.00218318	0	0.000116921	0.00064402	0.000111678	0.000120523	0.00279733	1.6202e-06	0	0	0	0	1.38206	0	0.0143243	0.0136256	0.935792	1.51067	0.747479	0.0207258	3.37704e-05	1061.74	76502.7	29376.4	45085.1	111.506	8.8168	65.2671	30.6688	5.3361	0	0	20.7757	4986.4	2269.39	3174.97	11.7376	0.125839	0.973996	3.36097	1.77834	0	0	0.472594
setup	0	2015-01-02 23:00:00	8.86601e-11	20.9055	5.5115	0.000271878	0	0.000198595	0	0.000156746	0.00128332	0.0115896	7.76303e-07	0	0	0	0	8.98663	0	0.0143144	0.0136258	0.458148	0.476829	0.366755	0.0330487	3.63923e-05	1080.18	76505.9	29381.2	45089.4	112.553	10.0972	62.4786	32.8349	13.9284	0	0	22.4768	4985.94	2269.18	3174.66	11.6967	0.138725	0.92724	3.17948	1.87205	0	0	0.471402
setup	0	2015-01-03 23:00:00	2.52711e-11	12.7377	11.6884	0.00601241	0	0.00123574	0	0.000171839	0.00189082	0.0215978	7.31293e-07	0	0	0	0	1.40424	0	0.0154865	0.0136324	0.376049	0.507861	0.349569	0.0358376	4.12767e-05	1068.47	76495.4	29374.7	45081	113.916	11.3865	59.8283	37.3909	6.01271	0	0	23.3221	4985.57	2269	3174.41	11.6668	0.152632	0.883185	3.31536	1.71917	0	0	0.493722
setup	0	2015-01-04 23:00:00	4.07356e-11	12.6479	8.45494	0.0314817	0	0.00262176	0	0.000172051	0.00202234	0.0256914	8.45065e-07	0	0	0	0	1.38901	0	0.0160689	0.0136256	0.350037	0.487255	0.335521	0.0300575	4.0862e-05	1060.88	76488.2	29371.1	45076	116.429	12.6553	57.203	38.2118	4.50934	0	0	23.8071	4985.23	2268.83	3174.17	11.7638	0.167096	0.839926	3.35275	1.59109	0	0	0.482208
setup	0	2015-01-05 23:00:00	6.7091e-11	14.2957	7.66256	0.0375173	0	0.00256027	0	0.000159359	0.00196895	0.0257612	1.08172e-06	0	0	0	0	1.96069	0	0.0164031	0.0136256	0.331373	0.453988	0.313127	0.0245543	3.9898e-05	1056.41	76482.5	29369	45072.4	119.027	13.9085	54.7016	38.4741	4.993	0	0	24.1571	4984.91	2268.67	3173.95	11.9084	0.181851	0.79904	3.33049	1.50041	0	0	0.475884
setup	0	2015-01-06 23:00:00	2.34308e-11	16.0989	8.51176	0.0366407	0	0.00263719	0	0.000104054	0.00133655	0.026474	3.59337e-07	0	0	0	0	2.61336	0	0.0166442	0.0147873	0.312459	0.464202	0.303257	0.0234693	4.18303e-05	1054.18	76476.6	29366.8	45068.7	122.349	15.1067	52.3865	38.5475	4.65784	0	0	24.4329	4984.6	2268.52	3173.73	12.1052	0.196195	0.761287	3.28042	1.39458	0	0	0.497566
setup	0	2015-01-07 23:00:00	2.5564e-11	15.574	8.2792	0.0327754	0	0.00256551	0	0.000119556	0.00176807	0.0266208	3.08048e-07	0	0	0	0	2.46793	0	0.0168343	0.01374	0.295093	0.433335	0.272358	0.0215456	3.86684e-05	1051.57	76470.8	29364.7	45065.2	125.886	16.2955	50.3401	37.7387	4.29349	0	0	24.6561	4984.31	2268.38	3173.53	12.3315	0.210667	0.728094	3.17256	1.30717	0	0	0.515599
setup	0	2015-01-08 23:00:00	7.32591e-12	15.1489	7.88906	0.0279176	0	0.00159086	0	5.88867e-05	0.000802148	0.0285675	1.36876e-07	0	0	0	0	2.61276	0	0.0169881	0.0149605	0.259585	0.371797	0.192842	0.02194	3.45066e-05	1049.72	76465.6	29362.8	45062	129.305	17.4775	48.7649	35.886	3.52202	0	0	24.8217	4984.06	2268.26	3173.36	12.5539	0.22526	0.702905	2.99919	1.23927	0	0	0.639556
setup	0	2015-01-09 23:00:00	9.43835e-12	16.5642	7.48435	0.0230414	0	0.00122455	0	9.25641e-05	0.00136846	0.0283315	2.38351e-07	0	0	0	0	3.29461	0	0.0171021	0.0137062	0.248723	0.338748	0.164515	0.0154511	3.17284e-05	1050.37	76461.4	29361.4	45059.7	132.453	18.6361	47.4607	32.6634	4.40654	0	0	24.9472	4983.82	2268.12	3173.19	12.7917	0.239703	0.681652	2.75545	1.20408	0	0	0.659523
setup	0	2015-01-10 23:00:00	4.42531e-12	17.9092	8.37918	0.0228513	0	0.000894193	0	0.000112573	0.00145618	0.0232943	4.25259e-07	0	0	0	0	3.58794	0	0.0171886	0.0136256	0.255256	0.347438	0.171923	0.0117411	3.21701e-05	1051.99	76456.7	29359.3	45056.7	134.571	19.7724	46.203	30.0609	5.26017	0	0	25.0627	4983.58	2267.98	3173.01	12.9736	0.253939	0.660836	2.55301	1.19112	0	0	0.646961
